German Dog Breed Name,English Dog Breed Name
Norwich terrier,Norwich terrier
Russischer terrier,Russian terrier
Pyrenäen,Pyrenees
Appenzeller,Appenzeller
Perro dogo mallorquin,Perro dogo mallorquin
Kleiner münsterländer,Small münsterländer
Berger de brie,Berger de brie
Langhaardackel,Long-haired dachshund
Finnischer lapphund,Finnish lapphund
Jagdhund,Hunting dog
Wolfspitz,Wolf spitz
Parson russell terrier,Parson russell terrier
Berger picard,Berger picard
Toy pudel,Toy poodle
Mops,Pug
Beauceron berge de beauce,Beauceron berge de beauce
Briard,Briard
Mittelschnauzer,Standard schnauzer
Barbet,Barbet
Irish setter,Irish setter
Berger de beauce,Berger de beauce
Samojede,Samojede
Russkiy toy,Russkiy toy
Sennenhund,Mountain dog
Foo dog gross,Foo dog big
Epagneul breton,Spaniel breton
Cavalier king charles spaniel,Cavalier king charles spaniel
Berger des pyrenées,Berger des pyrenées
Deutsche dogge,German mastiff
Powder puff,Powder puff
Shar pei,Shar pei
Landseer,Landseer
Chodsky pes,Chodsky pes
Chinese powder puff,Chinese powder puff
Beagle,Beagle dog
Cairn terrier,Cairn terrier
West highland white terrier,West highland white terrier
Havaneser,Havanese
Ratero,Ratero
Chinese foo dog,Chinese foo dog
Teckel,Dachshund
Spanischer wasserhund,Spanish water dog
Dogo argentino,Dogo argentino
Shih tzu,Shih tzu
Volpino,Volpino
Wäller,German shepherd
Spinone,Spinone
Australien kelpie,Australian kelpie
Terrier,Terrier dog
Transylvanischer laufhund,Transylvanian drive dog
Bichon maltais,Bichon maltais
Alpenländische dachsbracke,Alpine dachsbracke
Rehpinscher,Zwergpinscher
Irish soft coated wheaten terrier,Irish soft coated wheaten terrier
Mudi,Mudi
Chinese crested powderpuff,Chinese crested powder puff
Dogge,Mastiff
Akita inu,Akita inu
Bordeaux dogge,Bordeaux mastiff
Galgo,Galgo
Anatolischer hirtenhund,Anatolian shepherd dog
Griffon,Griffon
Portugiesischer wasserhund,Portuguese water dog
King charles spaniel,King charles spaniel
Tiroler bracke,Tyrolean Hound
Deutsch drahthaar,German wirehaired pointer
Eurasier,Eurasier
Berner sennenhund,Bernese mountain dog
Vorstehhund,Pointer dog
English springer spaniel,English springer spaniel
Vizsla,Vizsla
Elo,Elo dog
Schnauzer,Schnauzer
Magyar viszla,Magyar vizsla
Deutscher pinscher,German pinscher
Bolonka zwetna,Bolonka
Gos d'atura català,Catalan Sheepdog
Prager rattler,Prague rattler
